recipe_tag	coefficient
bias	0.4272430372136976
alfredo	0.08446226663920547
almond	-0.03129840962462676
american	-0.087785498532593
appetizer	0.11352339855529356
appetizers	0.015531867245618149
apple	-0.03466670413383489
asiancuisine	0.013975562636033178
asparagus	0.01450191049102581
avocado	0.0032752683158163397
bacon	0.2059246176419636
baked	-0.013504566964317337
bakeddishes	-0.02751778486361665
bakery	0.007464070447260233
baking	-0.04343084257728827
beans	-5.346926032185075e-05
beef	0.07106479614267439
bellpeppers	-0.009158206229702938
berries	-0.01875851790484153
blackbeans	-0.009158206229702938
blackvinegar	-0.035144808790199676
blueberry	0.05332806714167873
boiledeggs	0.004562984065192293
bokchoy	0.004562984065192293
braided	-0.04244875561884198
bread	0.009608129859145761
breaded	0.05169908518064964
breakfast	0.07892937368475408
breakfastpastry	0.013766206997430664
brioche	-0.0651859984465226
broiling	0.04413991958823205
brownies	0.1581115652817714
brownsugar	0.02705894252342736
brunch	-0.06477515019087586
burger	0.028999094404993122
burritos	-0.07212416782501967
buttery	0.05738260394264692
cake	-0.027439754473940165
carrots	0.004562984065192293
casserole	0.014857049284246738
celebration	-0.011184354886422262
cheese	0.036691920342712306
cheesy	0.09106813271481011
cherry	-0.034958070602921054
chicken	0.12567627231829
chickpeas	0.028999094404993122
chilioil	-0.0019064484742873783
chilipowder	-0.009158206229702938
chinese	0.02113968681043059
chinesecookingwine	0.0332383603159123
chinesecuisine	0.0568661794582724
chocolate	-0.18534079769669692
chocolatechip	-0.058229319682012656
chocolatecroissant	0.013766206997430664
christmas	0.01644004056624864
cilantro	0.027710034608598177
cinnamon	0.06349010978623831
citrus	0.00822002028312432
classic	0.03141556693091324
cloves	-0.04093508578391993
cobbler	0.06106144866815368
cocoapowder	0.000591483439751406
coffee	-0.001645080952657735
cold	0.02113968681043059
coldnoodles	0.010669234351727813
comfortfood	0.05431025173302875
condiment	-0.0024777758860003024
cookies	-0.16411517543761617
corn	-0.011184354886422262
cranberry	0.03948658743315807
creamcheese	0.011309850207969378
creamy	0.04850230213119348
crisp	0.006463010354537037
crispy	0.10247656928699722
croissant	-0.001645080952657735
croissants	-0.09056354093877117
crumble	0.03879123075811427
crust	-0.04093508578391993
cucumber	0.010669234351727813
cumin	-0.009158206229702938
cupcakes	-0.07283488466119382
custard	-0.007398545479376097
custardy	0.023609152978588246
customizable	-0.006900080162749549
danish	0.011309850207969378
dashibroth	-0.0002617696062545563
dates	0.029561429879381377
decadent	0.03124292232972939
dessert	-0.07193997021014088
dinner	0.04051456555362479
dip	-0.0006083672527870494
donuts	0.13911290966856285
easterneuropean	-0.04244875561884198
easy	0.08875296320562567
easydinner	-0.039126091717028175
egg	0.06280276277921819
eggs	0.09649553601887559
eggwhites	0.013298041661454143
fajitaseasoning	0.010773370157902864
fall	0.002255985993567109
familyfriendly	-0.024269042432781437
fastfood	0.05169908518064964
fetacheese	0.033458282621726856
filling	0.010005332412286988
fingerfood	0.048986152123663966
flaky	0.04980626845473453
french	0.038833218890051716
frenchcuisine	-0.10797728908744605
frenchpastry	0.019585196492033163
fresh	0.03660532356422805
fried	0.08412226625472963
friedfood	-0.0043520847657490536
friedrice	0.016905412575036537
fries	-0.02826871867424164
frosting	-0.10027463913513399
fruit	0.05488671784579842
fudgy	0.07369167794857137
gamedayfood	-0.014838240655703378
ganache	-0.02803123791369157
garlic	0.03912366089804948
ginger	0.0332383603159123
glutenfree	0.05041568879177612
goldenbrown	-0.0025721247410625276
greenbeans	0.025450149446794457
greenonion	0.005885300582137184
greenonions	-0.06756118375982738
grill	0.028999094404993122
grilled	0.030498640890395296
grilling	0.04413991958823205
groundbeef	0.10280873667047814
gruyere	0.00586983449601451
gruyerecheese	0.001684301638658351
guacamole	0.0015616946678780753
hamandcheese	0.011309850207969378
hamburger	-0.016562971049583975
handheld	-0.006900080162749549
handtorndough	-0.035584282996616846
hawaii	-0.016562971049583975
hawaiian	0.012108768581683766
healthy	-0.04579422992192965
herbs	0.0030195961817832614
holiday	0.005255685679826379
homemade	0.004623170379815787
indulgent	-0.07283488466119382
italian	-0.022587011493750905
italiancuisine	0.08446226663920547
jalapenos	-0.02826871867424164
japanesecuisine	0.019493789478291938
juicy	0.0017913319826836076
ketchup	-0.016562971049583975
keto	0.026031484905979365
kidfriendly	0.048986152123663966
koreancuisine	-0.035584282996616846
laminateddough	0.007464070447260233
lasagna	0.030325109048103926
lattice	-0.04093508578391993
lettuce	0.013451893457237088
lime	-0.005528325707314122
loadednachos	0.013430478018538262
lowcarb	0.026031484905979365
lunch	0.04051456555362479
macandcheese	0.02489314915260523
maple	0.13911290966856285
maplesyrup	-0.19660869700452552
masa	-0.011184354886422262
mayonnaise	-0.016562971049583975
meal	0.05169908518064964
mealprep	0.06404564640789626
meat	-0.04563281493047769
meatsauce	-0.02229012547120341
mexican	-0.005301092343361426
mexicancuisine	-0.015550318144541019
mexicanfood	0.013430478018538262
middleeastern	-0.017438897718865146
miso	0.004562984065192293
muffins	0.06404564640789626
mushroom	-0.030875762898374494
mushrooms	0.004562984065192293
nachos	-0.016139964211673713
noodles	0.0011874530395851145
noodlesoup	0.004562984065192293
nori	0.012108768581683766
numbing	0.12524934856438438
nutmeg	-0.013876143260492572
oat	0.029182611439366405
oats	0.0040123956565179374
onion	-0.005395786518367665
onions	0.001615163928199926
onthego	0.012108768581683766
oven	0.013766206997430664
oysters	-0.02300789988370914
pacificislands	-0.016562971049583975
pancakes	-0.19660869700452552
parmesan	0.00586983449601451
partyfood	0.04791186635244671
pasta	0.1090585297692632
pastasauce	-0.02229012547120341
pastry	-0.03435855936598667
pastrycrust	-0.021924851339929895
peach	0.012857191118297525
peanutbutter	0.057245442706886
peanutdressing	0.009191628866442548
peanuts	-0.035144808790199676
peppers	0.010773370157902864
pickledvegetables	-0.016306783572251873
pie	-0.12872058431651293
piecrust	0.033458282621726856
pork	-0.035144808790199676
porkbelly	0.004562984065192293
potatoes	-0.07212416782501967
protein	0.06404564640789626
puffpastry	0.013766206997430664
quiche	-0.007256284722204374
quick	0.020829336929498038
ramen	0.004562984065192293
refreshing	0.00613606457245698
relish	0.00822002028312432
rhubarb	0.00613606457245698
rice	0.012108768581683766
ricevinegar	0.005885300582137184
rich	0.03124292232972939
ricotta	0.0003477582858611921
salad	-0.011003871515420113
salsa	0.014232226450081138
salty	0.02489314915260523
sandwich	0.06280276277921819
sauce	0.00822002028312432
savory	0.010219357258484349
scallions	-0.0019064484742873783
scallops	0.04706161193997927
seafood	0.03260934864788534
sesame	0.02113968681043059
sesameoil	0.005885300582137184
sesameseeds	0.005885300582137184
shrimp	0.04413991958823205
sichuancuisine	0.0901045397741847
sichuanpeppercorns	-0.0019064484742873783
sidedish	0.0007145924531816762
sidedishes	0.025450149446794457
skewers	0.04413991958823205
smoky	0.04358989371032537
snack	0.004558553764100082
snacks	-0.0028185692274471826
sobanoodles	0.013975562636033178
soft	-0.0025721247410625276
souffle	0.0733681346014054
soup	-0.020391707977262644
sourcream	-0.046769985199279766
southern	0.008234020738481737
southerncuisine	-0.02300789988370914
soysauce	0.02544724874807864
spam	-0.004454202467900209
spices	0.0030195961817832614
spicy	0.0454501223498424
spicyfood	0.018655815117960085
spinach	-0.03174594361403108
spring	0.005984517475791887
steamed	-0.011184354886422262
stirfry	0.09201098824847208
strawberry	0.00613606457245698
streetfood	-0.01730635852991869
stuffedpeppers	0.018655815117960085
summer	-0.027509290287446787
sushi	0.012108768581683766
sweet	-0.05033837401443899
sweetandsalty	-0.10588585575560351
sweetandsavory	-0.05749578733596267
sweettreat	0.012121126044772928
taco	0.0008832309128814845
tacos	0.00013253918894645694
tangy	0.022576105138705622
tart	0.00822002028312432
tea	-0.001645080952657735
tempura	-0.0002617696062545563
tender	0.049126960439587114
texmex	0.010773370157902864
thanksgiving	0.01644004056624864
toast	0.06280276277921819
tomato	0.01182427060663211
tomatoes	-0.042578918473967116
tomatosauce	0.10790409896063488
tortilla	-0.009158206229702938
tortillabowl	0.0008832309128814845
tortillachips	-0.021078731294744146
tortillas	-0.061350797667116805
traditional	-0.011184354886422262
twisted	-0.04244875561884198
udonnoodles	-0.0002617696062545563
vanilla	0.013298041661454143
vanillaicecream	0.0040123956565179374
vegan	0.01984840192956295
vegetables	-0.012694352945788422
vegetarian	-0.012989237495005128
warm	0.013766206997430664
whippedcream	0.0040123956565179374
winter	0.002255985993567109
yeastdough	-0.04244875561884198
