Date	AAPL	SPY	TSLA	MSFT	NVDA	GOOGL
2024-01-31	182.67481994628906	471.23065185546875	187.2899932861328	391.7392272949219	61.49274444580078	139.0493927001953
2024-02-29	179.05897521972656	495.82269287109375	201.8800048828125	407.56329345703125	79.06794738769531	137.42169189453125
2024-03-29	170.09246826171875	510.45111083984375	175.7899932861328	415.3058776855469	90.3056869506836	149.7981719970703
2024-04-30	168.9517822265625	491.3919372558594	183.27999877929688	384.3197937011719	86.35794830322266	161.5592803955078
2024-05-31	190.6944122314453	516.2463989257812	178.0800018310547	409.78778076171875	109.57709503173828	171.2064208984375
2024-06-28	209.1991424560547	532.7409057617188	197.8800048828125	441.9941101074219	123.47699737548828	180.78404235839844
2024-07-31	220.58181762695312	540.9314575195312	232.07000732421875	413.71124267578125	116.96991729736328	170.44900512695312
2024-08-30	227.45513916015625	553.5706176757812	214.11000061035156	412.5146789550781	119.31893157958984	162.34092712402344
2024-09-30	231.696044921875	563.4699096679688	261.6300048828125	426.2956848144531	121.38804626464844	164.79519653320312
2024-10-31	224.64572143554688	560.1546020507812	249.85000610351562	402.568603515625	132.7145538330078	170.24734497070312
2024-11-29	236.00181579589844	593.55859375	345.1600036621094	419.51934814453125	138.2026824951172	168.09823608398438
2024-12-31	249.29251098632812	577.3342895507812	403.8399963378906	418.4134521484375	134.24403381347656	188.34564208984375
2025-01-31	234.9374237060547	594.8347778320312	404.6000061035156	412.0206298828125	120.03717041015625	203.22409057617188
2025-02-28	240.7511444091797	587.283447265625	292.9800109863281	394.0829162597656	124.8858413696289	169.61572265625
2025-03-31	221.37301635742188	552.897216796875	259.1600036621094	373.3883056640625	108.3503646850586	154.03672790527344
2025-04-30	211.7758331298828	549.7523193359375	282.1600036621094	393.15234375	108.90023040771484	158.3626708984375
2025-05-30	200.16554260253906	584.301513671875	346.4599914550781	457.90521240234375	135.10548400878906	171.2670440673828
2025-06-30	204.7389373779297	612.5157470703125	317.6600036621094	495.66595458984375	157.96133422851562	175.74465942382812
2025-07-31	207.1339111328125	628.4754028320312	308.2699890136719	531.62939453125	177.85006713867188	191.60317993164062
2025-08-29	231.6522674560547	641.3713989257812	333.8699951171875	504.9134216308594	174.1604766845703	212.5806884765625
2025-09-30	254.38340759277344	662.380859375	444.7200012207031	516.982421875	186.55909729003906	242.7239990234375
2025-10-31	270.108154296875	680.050537109375	456.55999755859375	516.8426513671875	202.47872924804688	281.0061950683594
2025-11-28	278.5799560546875	681.3765869140625	430.1700134277344	491.09088134765625	176.99014282226562	319.970703125
2025-12-31	271.8599853515625	679.910888671875	449.7200012207031	483.6199951171875	186.4896240234375	312.79541015625
